milhas_por_ano,ano_do_modelo,preco,vendido
21801,2000,30941.02,yes
7843,1998,40557.96,yes
7109,2006,89627.5,no
26823,2015,95276.14,no
7935,2014,117384.68,yes
14661,2007,55405.26,yes
9990,2002,93415.61,yes
11599,2008,65265.09,no
7834,1999,43917.53,yes
14913,2003,107860.41,yes
14065,2016,75668.42,no
15095,2001,97411.7,no
16534,2009,91062.94,no
21998,2007,73156.01,no
7133,2005,82622.46,yes
12453,2002,64115.99,yes
9936,2006,48974.9,yes
22052,2011,28007.36,yes
14093,2015,94217.51,no
15922,2000,111136.8,yes
20400,2014,37384.17,yes
9354,2012,36271.82,yes
20370,1999,82597.52,no
7777,2002,81831.93,no
15562,2013,92271.67,no
14568,2002,55734.53,yes
12160,2004,67789.32,yes
12391,1999,71840.26,no
12874,2007,25413.75,yes
11018,2004,64497.7,no
16430,2007,76894.04,no
20295,2013,48359.62,yes
16790,2002,56539.06,no
12467,2006,81757.83,no
13998,2000,80965.58,no
26928,1998,82776.88,no
15991,2003,61589.78,no
15377,2006,66655.85,no
17362,2011,85107.04,no
7674,2007,113990.61,no
21256,2002,29338.23,yes
14363,2003,57463.74,no
12108,2008,41296.05,no
23908,2001,96446.05,no
11422,2001,53993.85,yes
14670,2008,64387.6,no
13070,2008,116393.77,no
8761,2015,75332.79,no
25971,2000,53268.18,no
11442,2000,102184.72,no
16932,2013,107433.92,no
15780,2006,93167.18,no
17456,2008,88662.57,no
15088,2006,25889.56,yes
19412,2008,70653.63,no
15439,2002,76666.68,no
16056,1999,106302.54,yes
24778,2006,43890.33,yes
12882,1998,62553.77,yes
21616,2008,46776.67,yes
15590,2000,34985.57,yes
17635,2013,80251.29,no
9047,1998,54196.09,yes
22674,2001,16736.17,yes
11113,2004,45467.13,yes
10041,2001,42956.65,yes
5584,2007,85338.55,yes
15164,1999,12017.79,yes
11609,2000,105524.5,yes
20954,1999,49745.4,yes
17009,1999,95592.87,no
11399,2010,86444.77,yes
10358,2000,33596.02,yes
23972,2012,75782.68,no
10932,2014,84454.22,no
13589,2006,81748.68,no
9188,2004,18576.43,yes
11223,2010,64773.76,no
21195,1998,31250.34,yes
18843,2006,46864.83,yes
16139,1999,18905.64,yes
6421,2005,90767.87,no
12056,2004,92508.98,no
17380,1999,90378.63,no
9945,2006,42569.3,yes
16835,2008,62620.45,no
4312,1998,60101.5,yes
13129,2004,48978.94,yes
28915,2013,69271.08,no
15844,1999,82495.58,no
12962,1999,11979.47,yes
9498,2005,77816.76,no
15894,2002,41273.9,yes
11118,2008,103459.05,yes
12453,2011,73901.01,no
13032,2003,75390.33,no
14120,2010,75457.92,yes
13791,2002,75285.5,yes
8575,2000,95177.42,yes
22968,2004,95676.08,no
17000,2002,45343.51,yes
18472,1998,96467.94,no
5735,1998,90684.94,no
12248,2012,43390.38,yes
13247,2011,105329.2,no
9619,2011,84517.72,yes
10606,1998,61696.4,no
16712,2000,38245.75,yes
11738,2005,79957.38,yes
8508,2003,91674.9,no
11269,2007,96028.69,no
8872,2015,103326.66,yes
9066,2012,107562.56,no
11377,2005,35738.06,yes
14474,2005,32582.02,yes
13381,2002,26871.75,yes
11022,2003,103336.64,yes
11193,2004,44303.89,no
14089,1999,58770.23,yes
18211,2011,95838.99,no
14542,2003,80921.29,no
14067,2005,94786.28,no
16491,1998,102461.86,yes
19852,1999,66761.79,no
9909,2009,95016.78,yes
12838,1999,23334.06,yes
9424,2010,66311.2,no
10709,2002,20199.69,yes
15156,2012,74419.32,no
13732,2012,76829.64,no
7450,2000,72033.52,no
22705,2002,101257.79,yes
16234,2012,41923.42,yes
10780,2001,16547.2,yes
12135,1999,94912.13,no
12268,2013,39284.89,yes
11484,2006,58005.41,yes
15245,2006,22629.92,yes
9399,2012,66930.86,no
20600,1999,40436.0,no
17420,2005,51383.65,yes
12522,2009,79893.16,yes
9232,1999,72450.5,no
17593,1999,56535.6,yes
13054,2001,81437.98,no
15773,2005,66587.22,no
13071,2005,96076.38,no
10193,1998,98132.27,yes
14789,2008,99431.8,no
12578,2005,35021.38,yes
15076,2004,96253.86,no
14386,1999,84931.89,no
15169,2009,45154.74,yes
9336,2004,78835.63,yes
10525,1998,58980.31,yes
11770,2014,64465.21,yes
14115,2005,38315.73,yes
6642,2011,90298.67,no
9555,2008,52555.22,no
16119,2000,24441.23,yes
13801,2009,107431.11,no
6762,2008,64096.95,no
11849,2013,53669.06,yes
19474,2000,60693.34,no
24462,2009,83884.53,no
10766,1999,68563.86,yes
16572,2001,82261.92,no
19600,2002,116027.14,yes
16277,2004,33361.66,yes
11304,2013,40174.67,no
14425,2007,100872.41,no
13889,2004,91729.32,yes
7735,2007,37220.88,yes
13731,1998,42932.35,yes
7653,2012,105354.79,no
24182,2006,70237.57,no
18551,1998,27085.34,yes
8082,2004,103986.22,no
18648,1999,53868.23,yes
8388,2002,103445.43,no
19636,2004,50956.1,no
11228,2003,41999.23,yes
12000,2000,42653.18,yes
8840,2004,98138.6,no
25383,2002,77999.11,no
12823,2007,30009.3,yes
13733,2008,97198.21,no
12135,2002,46167.55,yes
13811,2006,33977.16,yes
12200,2013,101201.24,no
10308,2003,24148.18,yes
